name,type,resolver,ttl,status,answers,error
ietf.org,A,1.1.1.1,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,1.1.1.1,60.0,OK,2606:4700:8de2:c0ba:44c6:0:6810:2c63,
ietf.org,CNAME,1.1.1.1,,NODATA,,
ietf.org,MX,1.1.1.1,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,1.1.1.1,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,1.1.1.1,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,1.1.1.1,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,8.8.8.8,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,8.8.8.8,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,8.8.8.8,,NODATA,,
ietf.org,MX,8.8.8.8,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,8.8.8.8,21600.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,8.8.8.8,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,8.8.8.8,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,9.9.9.9,179.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,9.9.9.9,179.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,9.9.9.9,,NODATA,,
ietf.org,MX,9.9.9.9,30.0,OK,0 mail2.ietf.org.,
ietf.org,NS,9.9.9.9,7349.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,9.9.9.9,1679.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,9.9.9.9,179.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:jill.ns.cloudflare.com@108.162.192.122,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:jill.ns.cloudflare.com@108.162.192.122,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:jill.ns.cloudflare.com@108.162.192.122,,NODATA,,
ietf.org,MX,auth:jill.ns.cloudflare.com@108.162.192.122,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:jill.ns.cloudflare.com@108.162.192.122,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:jill.ns.cloudflare.com@108.162.192.122,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:jill.ns.cloudflare.com@108.162.192.122,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:jill.ns.cloudflare.com@172.64.32.122,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:jill.ns.cloudflare.com@172.64.32.122,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:jill.ns.cloudflare.com@172.64.32.122,,NODATA,,
ietf.org,MX,auth:jill.ns.cloudflare.com@172.64.32.122,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:jill.ns.cloudflare.com@172.64.32.122,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:jill.ns.cloudflare.com@172.64.32.122,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:jill.ns.cloudflare.com@172.64.32.122,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:jill.ns.cloudflare.com@173.245.58.122,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:jill.ns.cloudflare.com@173.245.58.122,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:jill.ns.cloudflare.com@173.245.58.122,,NODATA,,
ietf.org,MX,auth:jill.ns.cloudflare.com@173.245.58.122,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:jill.ns.cloudflare.com@173.245.58.122,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:jill.ns.cloudflare.com@173.245.58.122,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
ietf.org,TXT,auth:jill.ns.cloudflare.com@173.245.58.122,300.0,OK,"""ca3-5567e36d3f9947308ac2892e009840cc""; ""v=spf1 ip4:166.84.6.31 ip4:166.84.7.238 ip6:2602:f977:800:f7f6::/64 include:_spf.google.com include:spf.hostedrt.com ~all""; ""vs58md9pf8hu6knlglfda9lk6g""",
ietf.org,A,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,300.0,OK,104.16.44.99; 104.16.45.99,
ietf.org,AAAA,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,300.0,OK,2606:4700::6810:2c63; 2606:4700::6810:2d63,
ietf.org,CNAME,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,,NODATA,,
ietf.org,MX,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,60.0,OK,0 mail2.ietf.org.,
ietf.org,NS,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,86400.0,OK,jill.ns.cloudflare.com.; ken.ns.cloudflare.com.,
ietf.org,SOA,auth:jill.ns.cloudflare.com@2606:4700:50::adf5:3a7a,1800.0,OK,jill.ns.cloudflare.com. dns.cloudflare.com. 2388147929 10000 2400 604800 1800,
