name,type,resolver,ttl,status,answers,error
dnssec-failed.org,A,1.1.1.1,,ERR,,
dnssec-failed.org,AAAA,1.1.1.1,,ERR,,
dnssec-failed.org,CNAME,1.1.1.1,,ERR,,
dnssec-failed.org,MX,1.1.1.1,,ERR,,
dnssec-failed.org,NS,1.1.1.1,,ERR,,
dnssec-failed.org,SOA,1.1.1.1,,ERR,,
dnssec-failed.org,TXT,1.1.1.1,,ERR,,
dnssec-failed.org,A,8.8.8.8,,ERR,,
dnssec-failed.org,AAAA,8.8.8.8,,ERR,,
dnssec-failed.org,CNAME,8.8.8.8,,ERR,,
dnssec-failed.org,MX,8.8.8.8,,ERR,,
dnssec-failed.org,NS,8.8.8.8,,ERR,,
dnssec-failed.org,SOA,8.8.8.8,,ERR,,
dnssec-failed.org,TXT,8.8.8.8,,ERR,,
dnssec-failed.org,A,9.9.9.9,,ERR,,
dnssec-failed.org,AAAA,9.9.9.9,,ERR,,
dnssec-failed.org,CNAME,9.9.9.9,,ERR,,
dnssec-failed.org,MX,9.9.9.9,,ERR,,
dnssec-failed.org,NS,9.9.9.9,,ERR,,
dnssec-failed.org,SOA,9.9.9.9,,ERR,,
dnssec-failed.org,TXT,9.9.9.9,,ERR,,
